StateX StateY NodeDes BatteryLife 
0.00 0.00 1.00 90.50
0.00 0.00 6.00 91.00
-0.07 0.00 6.00 90.90
-0.14 0.01 6.00 90.80
-0.20 0.01 6.00 90.70
-0.27 0.02 6.00 90.60
-0.34 0.04 6.00 90.50
-0.40 0.05 6.00 90.40
-0.47 0.07 6.00 90.30
-0.54 0.09 6.00 90.20
-0.60 0.11 6.00 90.10
-0.67 0.14 6.00 90.00
-0.73 0.16 6.00 89.90
-0.79 0.19 6.00 89.80
-0.86 0.22 6.00 89.70
-0.92 0.25 6.00 89.60
-0.98 0.28 6.00 89.50
-1.05 0.31 6.00 89.40
-1.11 0.34 6.00 89.30
-1.17 0.37 6.00 89.20
-1.23 0.40 6.00 89.10
-1.27 0.42 6.00 89.00
-1.30 0.43 6.00 88.90
-1.33 0.44 6.00 88.80
-1.35 0.45 6.00 88.70
-1.36 0.45 6.00 88.60
-1.38 0.45 6.00 88.50
-1.39 0.46 6.00 88.40
-1.40 0.46 6.00 88.30
-1.40 0.46 6.00 88.20
-1.41 0.46 6.00 88.10
-1.41 0.46 6.00 88.00
-1.41 0.46 6.00 87.90
-1.42 0.46 6.00 87.80
-1.42 0.46 6.00 87.70
-1.42 0.46 6.00 87.60
-1.42 0.46 6.00 87.50
-1.42 0.46 2.00 87.40
-1.36 0.46 2.00 87.30
-1.29 0.46 2.00 87.20
-1.23 0.47 2.00 87.10
-1.16 0.48 2.00 87.00
-1.10 0.50 2.00 86.90
-1.04 0.52 2.00 86.80
-0.98 0.54 2.00 86.70
-0.92 0.57 2.00 86.60
-0.86 0.61 2.00 86.50
-0.80 0.64 2.00 86.40
-0.75 0.68 2.00 86.30
-0.70 0.72 2.00 86.20
-0.65 0.77 2.00 86.10
-0.60 0.82 2.00 86.00
-0.55 0.87 2.00 85.90
-0.51 0.92 2.00 85.80
-0.47 0.97 2.00 85.70
-0.42 1.03 2.00 85.60
-0.38 1.09 2.00 85.50
-0.34 1.14 2.00 85.40
-0.30 1.20 2.00 85.30
-0.26 1.26 2.00 85.20
-0.22 1.31 2.00 85.10
-0.18 1.36 2.00 85.00
-0.15 1.40 2.00 84.90
-0.12 1.43 2.00 84.80
-0.10 1.45 2.00 84.70
-0.08 1.46 2.00 84.60
-0.06 1.47 2.00 84.50
-0.05 1.48 2.00 84.40
-0.04 1.49 2.00 84.30
-0.03 1.49 2.00 84.20
-0.03 1.49 2.00 84.10
-0.02 1.49 2.00 84.00
-0.02 1.50 2.00 83.90
-0.01 1.50 2.00 83.80
-0.01 1.50 2.00 83.70
-0.01 1.50 2.00 83.60
-0.01 1.50 2.00 83.50
-0.01 1.50 2.00 83.40
-0.00 1.50 2.00 83.30
-0.00 1.50 3.00 83.20
0.06 1.51 3.00 83.10
0.12 1.51 3.00 83.00
0.19 1.51 3.00 82.90
0.25 1.50 3.00 82.80
0.32 1.49 3.00 82.70
0.38 1.47 3.00 82.60
0.44 1.45 3.00 82.50
0.50 1.42 3.00 82.40
0.56 1.39 3.00 82.30
0.62 1.36 3.00 82.20
0.67 1.32 3.00 82.10
0.72 1.28 3.00 82.00
0.77 1.23 3.00 81.90
0.82 1.18 3.00 81.80
0.87 1.13 3.00 81.70
0.91 1.08 3.00 81.60
0.95 1.03 3.00 81.50
1.00 0.97 3.00 81.40
1.03 0.92 3.00 81.30
1.07 0.86 3.00 81.20
1.11 0.80 3.00 81.10
1.15 0.74 3.00 81.00
1.19 0.68 3.00 80.90
1.23 0.63 3.00 80.80
1.26 0.59 3.00 80.70
1.29 0.55 3.00 80.60
1.32 0.53 3.00 80.50
1.34 0.51 3.00 80.40
1.36 0.50 3.00 80.30
1.37 0.49 3.00 80.20
1.38 0.48 3.00 80.10
1.39 0.48 3.00 80.00
1.40 0.47 3.00 79.90
1.40 0.47 3.00 79.80
1.41 0.47 3.00 79.70
1.41 0.47 3.00 79.60
1.41 0.47 3.00 79.50
1.42 0.47 3.00 79.40
1.42 0.46 3.00 79.30
1.42 0.46 3.00 79.20
1.42 0.46 3.00 79.10
1.42 0.46 4.00 79.00
1.36 0.47 4.00 78.90
1.30 0.47 4.00 78.80
1.24 0.46 4.00 78.70
1.18 0.44 4.00 78.60
1.13 0.42 4.00 78.50
1.07 0.38 4.00 78.40
1.03 0.34 4.00 78.30
0.98 0.30 4.00 78.20
0.94 0.25 4.00 78.10
0.91 0.20 4.00 78.00
0.88 0.14 4.00 77.90
0.85 0.08 4.00 77.80
0.84 0.02 4.00 77.70
0.82 -0.05 4.00 77.60
0.81 -0.11 4.00 77.50
0.81 -0.18 4.00 77.40
0.81 -0.24 4.00 77.30
0.82 -0.31 4.00 77.20
0.83 -0.38 4.00 77.10
0.84 -0.44 4.00 77.00
0.85 -0.51 4.00 76.90
0.87 -0.58 4.00 76.80
0.89 -0.64 4.00 76.70
0.91 -0.71 4.00 76.60
0.93 -0.78 4.00 76.50
0.95 -0.84 4.00 76.40
0.96 -0.91 4.00 76.30
0.97 -0.97 4.00 76.20
0.97 -1.03 4.00 76.10
0.96 -1.07 4.00 76.00
0.96 -1.11 4.00 75.90
0.95 -1.13 4.00 75.80
0.94 -1.15 4.00 75.70
0.93 -1.17 4.00 75.60
0.92 -1.18 4.00 75.50
0.92 -1.19 4.00 75.40
0.91 -1.20 4.00 75.30
0.91 -1.20 4.00 75.20
0.90 -1.20 4.00 75.10
0.90 -1.21 4.00 75.00
