StateX StateY NodeDes BatteryLife 
-0.92 0.50 2.00 71.20
-0.86 0.52 2.00 71.10
-0.80 0.56 2.00 71.00
-0.75 0.59 2.00 70.90
-0.69 0.63 2.00 70.80
-0.64 0.68 2.00 70.70
-0.60 0.72 2.00 70.60
-0.55 0.77 2.00 70.50
-0.51 0.82 2.00 70.40
-0.47 0.88 2.00 70.30
-0.43 0.93 2.00 70.20
-0.39 0.99 2.00 70.10
-0.35 1.05 2.00 70.00
-0.32 1.11 2.00 69.90
-0.28 1.17 2.00 69.80
-0.25 1.23 2.00 69.70
-0.21 1.29 2.00 69.60
-0.18 1.35 2.00 69.50
-0.15 1.39 2.00 69.40
-0.12 1.42 2.00 69.30
-0.10 1.44 2.00 69.20
-0.08 1.45 2.00 69.10
-0.07 1.47 2.00 69.00
-0.05 1.48 2.00 68.90
-0.04 1.48 2.00 68.80
-0.03 1.49 2.00 68.70
-0.03 1.49 2.00 68.60
-0.02 1.49 2.00 68.50
-0.02 1.50 2.00 68.40
-0.01 1.50 2.00 68.30
-0.01 1.50 2.00 68.20
-0.01 1.50 2.00 68.10
-0.01 1.50 2.00 68.00
-0.01 1.50 2.00 67.90
-0.00 1.50 2.00 67.80
-0.00 1.50 2.00 67.70
-0.00 1.50 2.00 67.60
-0.00 1.50 2.00 67.50
-0.00 1.50 2.00 67.40
-0.00 1.50 2.00 67.30
-0.00 1.50 2.00 67.20
-0.00 1.50 2.00 67.10
-0.00 1.50 2.00 67.00
-0.00 1.50 2.00 66.90
-0.00 1.50 2.00 66.80
-0.00 1.50 2.00 66.70
-0.00 1.50 2.00 66.60
-0.00 1.50 2.00 66.50
-0.00 1.50 2.00 66.40
-0.00 1.50 2.00 66.30
-0.00 1.50 2.00 66.20
-0.00 1.50 2.00 66.10
-0.00 1.50 2.00 66.00
-0.00 1.50 2.00 65.90
-0.00 1.50 2.00 65.80
-0.00 1.50 2.00 65.70
-0.00 1.50 2.00 65.60
-0.00 1.50 2.00 65.50
-0.00 1.50 2.00 65.40
-0.00 1.50 2.00 65.30
-0.00 1.50 2.00 65.20
-0.00 1.50 2.00 65.10
-0.00 1.50 2.00 65.00
-0.00 1.50 2.00 64.90
-0.00 1.50 2.00 64.80
-0.00 1.50 2.00 64.70
-0.00 1.50 2.00 64.60
-0.00 1.50 2.00 64.50
-0.00 1.50 2.00 64.40
-0.00 1.50 2.00 64.30
-0.00 1.50 2.00 64.20
-0.00 1.50 2.00 64.10
-0.00 1.50 2.00 64.00
-0.00 1.50 2.00 63.90
-0.00 1.50 2.00 63.80
-0.00 1.50 2.00 63.70
-0.00 1.50 2.00 63.60
-0.00 1.50 2.00 63.50
-0.00 1.50 2.00 63.40
