StateX StateY NodeDes BatteryLife 
0.00 0.00 1.00 90.50
0.00 0.00 5.00 91.00
-0.06 -0.00 5.00 90.90
-0.12 -0.02 5.00 90.80
-0.18 -0.03 5.00 90.70
-0.24 -0.06 5.00 90.60
-0.30 -0.09 5.00 90.50
-0.35 -0.13 5.00 90.40
-0.40 -0.17 5.00 90.30
-0.44 -0.22 5.00 90.20
-0.48 -0.27 5.00 90.10
-0.52 -0.32 5.00 90.00
-0.55 -0.38 5.00 89.90
-0.58 -0.44 5.00 89.80
-0.61 -0.50 5.00 89.70
-0.63 -0.56 5.00 89.60
-0.65 -0.63 5.00 89.50
-0.67 -0.69 5.00 89.40
-0.68 -0.76 5.00 89.30
-0.70 -0.83 5.00 89.20
-0.71 -0.90 5.00 89.10
-0.73 -0.96 5.00 89.00
-0.75 -1.02 5.00 88.90
-0.76 -1.07 5.00 88.80
-0.78 -1.11 5.00 88.70
-0.79 -1.13 5.00 88.60
-0.81 -1.15 5.00 88.50
-0.82 -1.17 5.00 88.40
-0.83 -1.18 5.00 88.30
-0.84 -1.19 5.00 88.20
-0.85 -1.20 5.00 88.10
-0.85 -1.20 5.00 88.00
-0.86 -1.20 5.00 87.90
-0.86 -1.21 5.00 87.80
-0.87 -1.21 5.00 87.70
-0.87 -1.21 5.00 87.60
-0.87 -1.21 5.00 87.50
-0.87 -1.21 5.00 87.40
-0.88 -1.21 5.00 87.30
-0.88 -1.21 5.00 87.20
-0.88 -1.21 6.00 87.10
-0.94 -1.22 6.00 87.00
-1.00 -1.23 6.00 86.90
-1.06 -1.22 6.00 86.80
-1.12 -1.20 6.00 86.70
-1.17 -1.18 6.00 86.60
-1.23 -1.15 6.00 86.50
-1.28 -1.11 6.00 86.40
-1.32 -1.07 6.00 86.30
-1.36 -1.02 6.00 86.20
-1.40 -0.97 6.00 86.10
-1.43 -0.92 6.00 86.00
-1.46 -0.86 6.00 85.90
-1.48 -0.80 6.00 85.80
-1.49 -0.73 6.00 85.70
-1.50 -0.67 6.00 85.60
-1.51 -0.60 6.00 85.50
-1.51 -0.54 6.00 85.40
-1.50 -0.47 6.00 85.30
-1.50 -0.41 6.00 85.20
-1.48 -0.34 6.00 85.10
-1.47 -0.27 6.00 85.00
-1.45 -0.21 6.00 84.90
-1.43 -0.14 6.00 84.80
-1.41 -0.07 6.00 84.70
-1.39 -0.00 6.00 84.60
-1.37 0.06 6.00 84.50
-1.36 0.13 6.00 84.40
-1.35 0.19 6.00 84.30
-1.34 0.25 6.00 84.20
-1.34 0.30 6.00 84.10
-1.35 0.34 6.00 84.00
-1.36 0.37 6.00 83.90
-1.36 0.39 6.00 83.80
-1.37 0.41 6.00 83.70
-1.38 0.42 6.00 83.60
-1.39 0.44 6.00 83.50
-1.40 0.44 6.00 83.40
-1.40 0.45 6.00 83.30
-1.41 0.45 6.00 83.20
-1.41 0.46 6.00 83.10
-1.41 0.46 6.00 83.00
-1.42 0.46 6.00 82.90
-1.42 0.46 6.00 82.80
-1.42 0.46 6.00 82.70
-1.42 0.46 6.00 82.60
-1.42 0.46 6.00 82.50
-1.42 0.46 2.00 82.40
-1.36 0.44 2.00 82.30
-1.30 0.43 2.00 82.20
-1.24 0.43 2.00 82.10
-1.17 0.43 2.00 82.00
-1.11 0.43 2.00 81.90
-1.04 0.45 2.00 81.80
-0.98 0.46 2.00 81.70
-0.92 0.49 2.00 81.60
-0.86 0.51 2.00 81.50
-0.80 0.55 2.00 81.40
-0.75 0.58 2.00 81.30
-0.69 0.62 2.00 81.20
-0.64 0.67 2.00 81.10
-0.60 0.71 2.00 81.00
-0.55 0.76 2.00 80.90
-0.51 0.81 2.00 80.80
-0.47 0.87 2.00 80.70
-0.43 0.92 2.00 80.60
-0.39 0.98 2.00 80.50
-0.36 1.04 2.00 80.40
-0.32 1.10 2.00 80.30
-0.29 1.16 2.00 80.20
-0.25 1.22 2.00 80.10
-0.22 1.28 2.00 80.00
-0.18 1.34 2.00 79.90
